gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
003144,11308,2009-12-31,2010-09-30,2010-11-30,24.829,0.216,13.020,9.155,9.262,9.718,9.718,4.565,16.048,0.526,0.236,0.333,0.294,0.695,0.310,0.278,0.224,0.289,0.260,0.228,0.306,0.255,0.306,0.722,0.353,0.450,0.839,0.149,0.395,0.151,0.072,0.027,0.440,0.122,0.199,0.245,1.134,0.622,0.622,0.195,0.732,0.625,0.351,0.789,2.566,0.168,0.474,0.404,0.913,23.973,28.621,0.708,1.147,1.306,72.460,4.214,0.647,8.465,1.828,1.046,1.247,7.169,0.000,0.090,0.000,-0.032,5.008,0.826,2.79%,KO,19121610
003144,11308,2009-12-31,2010-09-30,2010-12-31,25.851,0.216,13.020,9.532,9.644,10.118,10.118,4.752,16.709,0.526,0.236,0.333,0.294,0.695,0.310,0.278,0.224,0.289,0.260,0.228,0.306,0.255,0.306,0.722,0.353,0.450,0.839,0.149,0.395,0.151,0.072,0.027,0.440,0.122,0.199,0.245,1.134,0.622,0.622,0.195,0.732,0.625,0.351,0.789,2.566,0.168,0.474,0.404,0.913,23.973,28.621,0.708,1.147,1.306,72.460,4.214,0.647,8.465,1.828,1.046,1.247,7.169,0.000,0.090,0.000,-0.032,5.214,0.860,2.68%,KO,19121610
003144,11308,2009-12-31,2010-09-30,2011-01-31,24.703,0.216,13.020,9.109,9.216,9.669,9.669,4.541,15.967,0.526,0.236,0.333,0.294,0.695,0.310,0.278,0.224,0.289,0.260,0.228,0.306,0.255,0.306,0.722,0.353,0.450,0.839,0.149,0.395,0.151,0.072,0.027,0.440,0.122,0.199,0.245,1.134,0.622,0.622,0.195,0.732,0.625,0.351,0.789,2.566,0.168,0.474,0.404,0.913,23.973,28.621,0.708,1.147,1.306,72.460,4.214,0.647,8.465,1.828,1.046,1.247,7.169,0.000,0.090,0.000,-0.032,4.983,0.822,2.80%,KO,19121610
003144,11308,2010-12-31,2010-12-31,2011-02-28,20.655,0.234,15.988,19.024,19.253,12.632,12.632,4.176,15.385,0.344,0.336,0.310,0.273,0.683,0.406,0.379,0.179,0.383,0.211,0.167,0.423,0.383,0.423,0.615,0.302,0.329,0.684,0.310,0.516,0.312,0.041,0.022,0.272,0.123,0.205,0.321,2.150,0.400,0.445,0.337,0.589,0.515,0.229,0.768,2.825,0.398,0.571,0.449,1.342,31.202,24.519,0.613,1.023,1.166,70.535,4.449,0.578,8.578,6.932,0.774,1.133,11.436,0.000,0.083,0.000,0.037,4.159,0.434,2.75%,KO,19121610
003144,11308,2010-12-31,2010-12-31,2011-03-31,21.444,0.234,15.988,19.744,19.982,13.111,13.111,4.336,15.973,0.344,0.336,0.310,0.273,0.683,0.406,0.379,0.179,0.383,0.211,0.167,0.423,0.383,0.423,0.615,0.302,0.329,0.684,0.310,0.516,0.312,0.041,0.022,0.272,0.123,0.205,0.321,2.150,0.400,0.445,0.337,0.589,0.515,0.229,0.768,2.825,0.398,0.571,0.449,1.342,31.202,24.519,0.613,1.023,1.166,70.535,4.449,0.578,8.578,6.932,0.774,1.133,11.436,0.000,0.083,0.000,0.037,4.318,0.451,2.83%,KO,19121610
003144,11308,2010-12-31,2010-12-31,2011-04-30,21.806,0.234,15.988,20.077,20.319,13.332,13.332,4.409,16.243,0.344,0.336,0.310,0.273,0.683,0.406,0.379,0.179,0.383,0.211,0.167,0.423,0.383,0.423,0.615,0.302,0.329,0.684,0.310,0.516,0.312,0.041,0.022,0.272,0.123,0.205,0.321,2.150,0.400,0.445,0.337,0.589,0.515,0.229,0.768,2.825,0.398,0.571,0.449,1.342,31.202,24.519,0.613,1.023,1.166,70.535,4.449,0.578,8.578,6.932,0.774,1.133,11.436,0.000,0.083,0.000,0.037,4.391,0.458,2.79%,KO,19121610
003144,11308,2010-12-31,2011-03-31,2011-05-31,23.136,0.242,13.672,9.655,9.796,6.449,6.449,4.010,17.653,0.340,0.317,0.301,0.258,0.680,0.382,0.361,0.206,0.410,0.233,0.167,0.443,0.343,0.443,0.668,0.322,0.413,0.760,0.232,0.486,0.234,0.047,0.022,0.352,0.119,0.192,0.297,1.624,0.523,0.536,0.267,0.641,0.484,0.229,0.722,2.804,0.277,0.531,0.458,1.145,30.152,23.740,0.657,1.068,1.212,70.535,4.731,0.607,9.144,2.143,0.994,1.307,10.060,0.000,0.083,0.000,0.057,4.167,0.224,2.81%,KO,19121610
003144,11308,2010-12-31,2011-03-31,2011-06-30,23.302,0.242,13.672,9.724,9.867,6.495,6.495,4.039,17.780,0.340,0.317,0.301,0.258,0.680,0.382,0.361,0.206,0.410,0.233,0.167,0.443,0.343,0.443,0.668,0.322,0.413,0.760,0.232,0.486,0.234,0.047,0.022,0.352,0.119,0.192,0.297,1.624,0.523,0.536,0.267,0.641,0.484,0.229,0.722,2.804,0.277,0.531,0.458,1.145,30.152,23.740,0.657,1.068,1.212,70.535,4.731,0.607,9.144,2.143,0.994,1.307,10.060,0.000,0.083,0.000,0.057,4.197,0.225,2.79%,KO,19121610
003144,11308,2010-12-31,2011-03-31,2011-07-31,23.551,0.242,13.672,9.828,9.972,6.565,6.565,4.082,17.970,0.340,0.317,0.301,0.258,0.680,0.382,0.361,0.206,0.410,0.233,0.167,0.443,0.343,0.443,0.668,0.322,0.413,0.760,0.232,0.486,0.234,0.047,0.022,0.352,0.119,0.192,0.297,1.624,0.523,0.536,0.267,0.641,0.484,0.229,0.722,2.804,0.277,0.531,0.458,1.145,30.152,23.740,0.657,1.068,1.212,70.535,4.731,0.607,9.144,2.143,0.994,1.307,10.060,0.000,0.083,0.000,0.057,4.242,0.228,2.76%,KO,19121610
003144,11308,2010-12-31,2011-06-30,2011-08-31,23.166,0.258,14.042,9.923,10.093,6.572,6.572,3.833,18.249,0.334,0.297,0.287,0.245,0.667,0.362,0.340,0.193,0.391,0.216,0.167,0.429,0.315,0.429,0.659,0.308,0.397,0.743,0.250,0.524,0.252,0.039,0.019,0.327,0.118,0.193,0.315,1.836,0.522,0.526,0.273,0.592,0.433,0.229,0.717,2.901,0.302,0.550,0.479,1.232,30.902,24.680,0.621,1.021,1.157,70.535,5.032,0.596,9.217,2.225,0.992,1.336,13.116,0.000,0.083,0.000,0.055,4.059,0.206,2.67%,KO,19121610
003144,11308,2010-12-31,2011-06-30,2011-09-30,22.215,0.258,14.042,9.515,9.679,6.302,6.302,3.676,17.500,0.334,0.297,0.287,0.245,0.667,0.362,0.340,0.193,0.391,0.216,0.167,0.429,0.315,0.429,0.659,0.308,0.397,0.743,0.250,0.524,0.252,0.039,0.019,0.327,0.118,0.193,0.315,1.836,0.522,0.526,0.273,0.592,0.433,0.229,0.717,2.901,0.302,0.550,0.479,1.232,30.902,24.680,0.621,1.021,1.157,70.535,5.032,0.596,9.217,2.225,0.992,1.336,13.116,0.000,0.083,0.000,0.055,3.893,0.198,2.78%,KO,19121610
003144,11308,2010-12-31,2011-06-30,2011-10-31,22.222,0.258,14.042,9.623,9.788,6.373,6.373,3.677,17.506,0.334,0.297,0.287,0.245,0.667,0.362,0.340,0.193,0.391,0.216,0.167,0.429,0.315,0.429,0.659,0.308,0.397,0.743,0.250,0.524,0.252,0.039,0.019,0.327,0.118,0.193,0.315,1.836,0.522,0.526,0.273,0.592,0.433,0.229,0.717,2.901,0.302,0.550,0.479,1.232,30.902,24.680,0.621,1.021,1.157,70.535,5.032,0.596,9.217,2.225,0.992,1.336,13.116,0.000,0.083,0.000,0.055,3.894,0.200,2.75%,KO,19121610
003144,11308,2010-12-31,2011-09-30,2011-11-30,20.763,0.246,14.096,9.235,9.416,6.191,6.191,3.318,16.765,0.251,0.276,0.276,0.234,0.655,0.336,0.319,0.179,0.360,0.200,0.167,0.402,0.286,0.402,0.647,0.290,0.388,0.713,0.281,0.568,0.282,0.035,0.017,0.304,0.121,0.198,0.337,2.067,0.506,0.507,0.291,0.562,0.404,0.229,0.693,3.016,0.346,0.573,0.504,1.352,29.218,23.889,0.600,0.973,1.107,70.535,5.251,0.592,9.332,2.315,0.997,1.398,19.085,0.000,0.083,0.000,0.049,4.043,0.202,2.80%,KO,19121610
003144,11308,2010-12-31,2011-09-30,2011-12-31,21.609,0.246,14.096,9.611,9.800,6.443,6.443,3.453,17.448,0.251,0.276,0.276,0.234,0.655,0.336,0.319,0.179,0.360,0.200,0.167,0.402,0.286,0.402,0.647,0.290,0.388,0.713,0.281,0.568,0.282,0.035,0.017,0.304,0.121,0.198,0.337,2.067,0.506,0.507,0.291,0.562,0.404,0.229,0.693,3.016,0.346,0.573,0.504,1.352,29.218,23.889,0.600,0.973,1.107,70.535,5.251,0.592,9.332,2.315,0.997,1.398,19.085,0.000,0.083,0.000,0.049,4.208,0.210,2.69%,KO,19121610
003144,11308,2010-12-31,2011-09-30,2012-01-31,20.855,0.246,14.096,9.276,9.458,6.218,6.218,3.333,16.840,0.251,0.276,0.276,0.234,0.655,0.336,0.319,0.179,0.360,0.200,0.167,0.402,0.286,0.402,0.647,0.290,0.388,0.713,0.281,0.568,0.282,0.035,0.017,0.304,0.121,0.198,0.337,2.067,0.506,0.507,0.291,0.562,0.404,0.229,0.693,3.016,0.346,0.573,0.504,1.352,29.218,23.889,0.600,0.973,1.107,70.535,5.251,0.592,9.332,2.315,0.997,1.398,19.085,0.000,0.083,0.000,0.049,4.061,0.203,2.78%,KO,19121610
003144,11308,2011-12-31,2011-12-31,2012-02-29,20.274,0.229,14.610,18.240,18.531,18.932,18.932,3.395,16.689,0.502,0.184,0.275,0.235,0.649,0.246,0.227,0.167,0.239,0.191,0.245,0.274,0.182,0.274,0.644,0.285,0.378,0.694,0.300,0.627,0.302,0.029,0.016,0.292,0.121,0.193,0.357,2.233,0.522,0.505,0.284,0.527,0.390,0.197,0.692,3.217,0.376,0.601,0.493,1.519,22.010,26.787,0.578,0.923,1.050,55.463,5.685,0.609,9.960,8.260,1.022,1.472,38.357,0.000,0.070,0.000,-0.012,4.352,0.897,2.69%,KO,19121610
003144,11308,2011-12-31,2011-12-31,2012-03-31,21.491,0.229,14.610,19.324,19.631,20.057,20.057,3.599,17.691,0.502,0.184,0.275,0.235,0.649,0.246,0.227,0.167,0.239,0.191,0.245,0.274,0.182,0.274,0.644,0.285,0.378,0.694,0.300,0.627,0.302,0.029,0.016,0.292,0.121,0.193,0.357,2.233,0.522,0.505,0.284,0.527,0.390,0.197,0.692,3.217,0.376,0.601,0.493,1.519,22.010,26.787,0.578,0.923,1.050,55.463,5.685,0.609,9.960,8.260,1.022,1.472,38.357,0.000,0.070,0.000,-0.012,4.613,0.951,2.76%,KO,19121610
003144,11308,2011-12-31,2011-12-31,2012-04-30,22.097,0.229,14.610,19.927,20.244,20.683,20.683,3.701,18.189,0.502,0.184,0.275,0.235,0.649,0.246,0.227,0.167,0.239,0.191,0.245,0.274,0.182,0.274,0.644,0.285,0.378,0.694,0.300,0.627,0.302,0.029,0.016,0.292,0.121,0.193,0.357,2.233,0.522,0.505,0.284,0.527,0.390,0.197,0.692,3.217,0.376,0.601,0.493,1.519,22.010,26.787,0.578,0.923,1.050,55.463,5.685,0.609,9.960,8.260,1.022,1.472,38.357,0.000,0.070,0.000,-0.012,4.743,0.980,2.67%,KO,19121610
003144,11308,2011-12-31,2012-03-31,2012-05-31,21.882,0.225,14.469,9.556,9.756,9.938,9.938,3.575,17.729,0.370,0.185,0.274,0.234,0.646,0.247,0.227,0.163,0.232,0.182,0.245,0.264,0.181,0.264,0.657,0.270,0.374,0.702,0.291,0.608,0.293,0.028,0.013,0.315,0.120,0.189,0.353,2.225,0.521,0.516,0.287,0.523,0.385,0.197,0.693,3.211,0.363,0.588,0.523,1.443,23.571,28.455,0.610,0.964,1.094,55.463,5.159,0.579,9.204,2.227,0.997,1.420,20.183,0.000,0.070,0.000,-0.010,4.479,0.438,2.73%,KO,19121610
003144,11308,2011-12-31,2012-03-31,2012-06-30,22.895,0.225,14.469,9.999,10.208,10.398,10.398,3.741,18.550,0.370,0.185,0.274,0.234,0.646,0.247,0.227,0.163,0.232,0.182,0.245,0.264,0.181,0.264,0.657,0.270,0.374,0.702,0.291,0.608,0.293,0.028,0.013,0.315,0.120,0.189,0.353,2.225,0.521,0.516,0.287,0.523,0.385,0.197,0.693,3.211,0.363,0.588,0.523,1.443,23.571,28.455,0.610,0.964,1.094,55.463,5.159,0.579,9.204,2.227,0.997,1.420,20.183,0.000,0.070,0.000,-0.010,4.687,0.458,2.61%,KO,19121610
003144,11308,2011-12-31,2012-03-31,2012-07-31,23.607,0.225,14.469,10.332,10.548,10.745,10.745,3.857,19.127,0.370,0.185,0.274,0.234,0.646,0.247,0.227,0.163,0.232,0.182,0.245,0.264,0.181,0.264,0.657,0.270,0.374,0.702,0.291,0.608,0.293,0.028,0.013,0.315,0.120,0.189,0.353,2.225,0.521,0.516,0.287,0.523,0.385,0.197,0.693,3.211,0.363,0.588,0.523,1.443,23.571,28.455,0.610,0.964,1.094,55.463,5.159,0.579,9.204,2.227,0.997,1.420,20.183,0.000,0.070,0.000,-0.010,4.832,0.473,2.52%,KO,19121610
003144,11308,2011-12-31,2012-06-30,2012-08-31,21.372,0.212,14.929,9.373,9.614,9.894,9.894,3.544,16.820,0.380,0.184,0.274,0.233,0.644,0.242,0.226,0.160,0.230,0.178,0.245,0.263,0.177,0.263,0.640,0.263,0.370,0.679,0.314,0.634,0.316,0.028,0.014,0.317,0.120,0.182,0.367,2.334,0.505,0.507,0.301,0.514,0.396,0.197,0.697,3.329,0.403,0.603,0.541,1.535,22.070,26.681,0.625,0.966,1.097,55.463,5.084,0.575,9.379,2.190,0.993,1.463,19.305,0.000,0.070,0.000,-0.016,4.519,0.522,2.73%,KO,19121610
003144,11308,2011-12-31,2012-06-30,2012-09-30,21.675,0.212,14.929,9.506,9.751,10.034,10.034,3.594,17.059,0.380,0.184,0.274,0.233,0.644,0.242,0.226,0.160,0.230,0.178,0.245,0.263,0.177,0.263,0.640,0.263,0.370,0.679,0.314,0.634,0.316,0.028,0.014,0.317,0.120,0.182,0.367,2.334,0.505,0.507,0.301,0.514,0.396,0.197,0.697,3.329,0.403,0.603,0.541,1.535,22.070,26.681,0.625,0.966,1.097,55.463,5.084,0.575,9.379,2.190,0.993,1.463,19.305,0.000,0.070,0.000,-0.016,4.583,0.529,2.69%,KO,19121610
003144,11308,2011-12-31,2012-06-30,2012-10-31,21.167,0.212,14.929,9.318,9.558,9.836,9.836,3.510,16.659,0.380,0.184,0.274,0.233,0.644,0.242,0.226,0.160,0.230,0.178,0.245,0.263,0.177,0.263,0.640,0.263,0.370,0.679,0.314,0.634,0.316,0.028,0.014,0.317,0.120,0.182,0.367,2.334,0.505,0.507,0.301,0.514,0.396,0.197,0.697,3.329,0.403,0.603,0.541,1.535,22.070,26.681,0.625,0.966,1.097,55.463,5.084,0.575,9.379,2.190,0.993,1.463,19.305,0.000,0.070,0.000,-0.016,4.476,0.519,2.74%,KO,19121610
003144,11308,2011-12-31,2012-09-30,2012-11-30,21.137,0.226,15.257,18.819,19.249,19.750,19.750,3.573,16.176,0.505,0.185,0.274,0.232,0.646,0.245,0.228,0.158,0.237,0.176,0.245,0.271,0.176,0.271,0.633,0.259,0.367,0.670,0.323,0.644,0.325,0.026,0.013,0.317,0.121,0.180,0.372,2.393,0.499,0.502,0.306,0.509,0.410,0.197,0.717,3.360,0.418,0.609,0.546,1.572,22.753,27.284,0.632,0.965,1.097,55.463,4.961,0.567,9.420,2.174,0.982,1.465,19.160,0.000,0.070,0.000,-0.020,4.428,2.598,2.69%,KO,19121610
003144,11308,2011-12-31,2012-09-30,2012-12-31,20.206,0.226,15.257,17.990,18.401,18.880,18.880,3.415,15.464,0.505,0.185,0.274,0.232,0.646,0.245,0.228,0.158,0.237,0.176,0.245,0.271,0.176,0.271,0.633,0.259,0.367,0.670,0.323,0.644,0.325,0.026,0.013,0.317,0.121,0.180,0.372,2.393,0.499,0.502,0.306,0.509,0.410,0.197,0.717,3.360,0.418,0.609,0.546,1.572,22.753,27.284,0.632,0.965,1.097,55.463,4.961,0.567,9.420,2.174,0.982,1.465,19.160,0.000,0.070,0.000,-0.020,4.233,2.484,2.81%,KO,19121610
003144,11308,2011-12-31,2012-09-30,2013-01-31,20.758,0.226,15.257,18.481,18.904,19.396,19.396,3.509,15.886,0.505,0.185,0.274,0.232,0.646,0.245,0.228,0.158,0.237,0.176,0.245,0.271,0.176,0.271,0.633,0.259,0.367,0.670,0.323,0.644,0.325,0.026,0.013,0.317,0.121,0.180,0.372,2.393,0.499,0.502,0.306,0.509,0.410,0.197,0.717,3.360,0.418,0.609,0.546,1.572,22.753,27.284,0.632,0.965,1.097,55.463,4.961,0.567,9.420,2.174,0.982,1.465,19.160,0.000,0.070,0.000,-0.020,4.349,2.551,2.74%,KO,19121610
003144,11308,2012-12-31,2012-12-31,2013-02-28,20.528,0.233,14.833,18.705,18.980,19.655,19.655,3.594,16.211,0.509,0.188,0.273,0.234,0.643,0.246,0.231,0.158,0.243,0.179,0.231,0.280,0.189,0.280,0.677,0.263,0.358,0.684,0.308,0.681,0.310,0.028,0.013,0.312,0.108,0.157,0.378,2.486,0.548,0.525,0.278,0.472,0.383,0.201,0.739,3.662,0.390,0.615,0.513,1.617,23.718,28.272,0.595,0.973,1.090,60.348,5.399,0.578,9.922,8.369,1.002,1.464,19.153,0.000,0.070,0.000,-0.020,4.569,1.125,2.63%,KO,19121610
003144,11308,2012-12-31,2012-12-31,2013-03-31,21.440,0.233,14.833,19.536,19.824,20.528,20.528,3.753,16.931,0.509,0.188,0.273,0.234,0.643,0.246,0.231,0.158,0.243,0.179,0.231,0.280,0.189,0.280,0.677,0.263,0.358,0.684,0.308,0.681,0.310,0.028,0.013,0.312,0.108,0.157,0.378,2.486,0.548,0.525,0.278,0.472,0.383,0.201,0.739,3.662,0.390,0.615,0.513,1.617,23.718,28.272,0.595,0.973,1.090,60.348,5.399,0.578,9.922,8.369,1.002,1.464,19.153,0.000,0.070,0.000,-0.020,4.772,1.175,2.77%,KO,19121610
003144,11308,2012-12-31,2012-12-31,2013-04-30,22.427,0.233,14.833,20.449,20.750,21.487,21.487,3.926,17.710,0.509,0.188,0.273,0.234,0.643,0.246,0.231,0.158,0.243,0.179,0.231,0.280,0.189,0.280,0.677,0.263,0.358,0.684,0.308,0.681,0.310,0.028,0.013,0.312,0.108,0.157,0.378,2.486,0.548,0.525,0.278,0.472,0.383,0.201,0.739,3.662,0.390,0.615,0.513,1.617,23.718,28.272,0.595,0.973,1.090,60.348,5.399,0.578,9.922,8.369,1.002,1.464,19.153,0.000,0.070,0.000,-0.020,4.991,1.230,2.65%,KO,19121610
003144,11308,2012-12-31,2013-03-31,2013-05-31,21.399,0.210,15.604,19.748,20.146,20.992,20.992,3.717,16.755,0.527,0.182,0.275,0.233,0.645,0.239,0.225,0.154,0.231,0.171,0.231,0.266,0.170,0.266,0.623,0.251,0.357,0.674,0.318,0.686,0.320,0.027,0.012,0.327,0.115,0.167,0.384,2.527,0.537,0.525,0.288,0.468,0.378,0.201,0.747,3.594,0.408,0.618,0.556,1.638,22.207,27.117,0.623,0.952,1.075,60.348,4.896,0.553,9.467,2.218,0.989,1.466,22.625,0.000,0.070,0.000,-0.022,4.725,,2.80%,KO,19121610
003144,11308,2012-12-31,2013-03-31,2013-06-30,21.463,0.210,15.604,19.807,20.207,21.055,21.055,3.728,16.805,0.527,0.182,0.275,0.233,0.645,0.239,0.225,0.154,0.231,0.171,0.231,0.266,0.170,0.266,0.623,0.251,0.357,0.674,0.318,0.686,0.320,0.027,0.012,0.327,0.115,0.167,0.384,2.527,0.537,0.525,0.288,0.468,0.378,0.201,0.747,3.594,0.408,0.618,0.556,1.638,22.207,27.117,0.623,0.952,1.075,60.348,4.896,0.553,9.467,2.218,0.989,1.466,22.625,0.000,0.070,0.000,-0.022,4.739,,2.79%,KO,19121610
